Pays;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Burkina Faso;0.000582250126325852;0.00040761198722916983;0.0005145958431923344;0.0015498957819455707;0.0008049234499710889;0.0007477003678544275;0.0005888127199675426;0.0007050903737570206;0.0004462299907028723;0.0004785363746645164;0.0007018571964589846;0.0005828006573231543;0.0005768670795770623;0.00047449949138520566;0.000761038111031161;0.0005894189025342527;0.0004816301491287145;0.0009395031190984469;0.0006009837629956682;0.00045919552587687966;0.0006073571809290571;0.000651855531053757;0.0005137668599079037;0.00048047553817507786;0.0005218014168630817;0.0005098695393787815;0.0005536772123453627;0.0005735614955617828;0.0003553831436711903;0.0005705552463970573;0.0006449343290010261;0.0010921398787269144;0.0012907944503715218
Burundi;0.0008695904894237677;0.0005679861031403096;0.0008982813900219544;0.0011157927633417453;0.0013012235989213507;0.0016028247297386836;0.0017993706206941929;0.0010168891589813667;0.00063366207120979;0.0015185374583993843;0.000882172001710298;0.00043390841535677805;0.0009389845810137533;0.0008350933003333119;0.0010484916356983294;0.000606753970659754;0.0008450001864833943;0.0015174832912015087;0.0009351153466006198;0.0007643270044511323;0.0008946160047624361;0.0012548827634793988;0.0008250671020655185;0.0006765435459935295;0.0007244453872507404;0.0007249919838853557;0.001166233356385278;0.00037298644276481614;0.0004624521648071448;0.0007991324220648164;0.000844683833127323;0.0012817836782980346;0.0014578512340632736
Bénin ;0.0005959251813987684;0.0006506462075603629;0.0005098509462943521;0.002111303903942234;0.0010993845332192775;0.0006979390171273083;0.00063706220791162;0.0007332167670681443;0.0005050631727626423;0.0006664552653057329;0.000658840788453906;0.0005959799698476949;0.0005538556240473717;0.0005280680971676114;0.0007168704688665884;0.0006503429932116984;0.0005459020492496464;0.0008254598183687881;0.0005290006889152594;0.000584151961288233;0.0006050225752433327;0.0007748974708664827;0.0005093586017197883;0.0004682547999379389;0.0005005251111144668;0.00045794180851096837;0.0005657190746656908;0.0005184364401367221;0.0004616846809511724;0.0006184127185137125;0.0005642108500851917;0.0005481181899300195;0.0005066193909259481
Cameroun;0.0004938513331695972;0.00049065154510587;0.0003565113747470953;0.001966825004113641;0.0008726492466788391;0.0006563084272448516;0.0006925573947673019;0.0006246364641794047;0.0005700215054552409;0.0005429220809388714;0.000677149820005261;0.0006104959626969382;0.0005175266133232718;0.0005011499406423762;0.0005759830602468174;0.0007064881022954392;0.0005300656493459686;0.0007157472909563945;0.000619291316065419;0.0005449481772870308;0.0006149221837540641;0.0006063283534910621;0.0005775305885244279;0.0005693132173727892;0.0006038451954791866;0.0005280806914377056;0.0005182516805737143;0.0005362652287659585;0.0005944512545780986;0.0005938124723567138;0.0005868436909443204;0.0007540015614534163;0.000805074997348186
Centrafrique;0.0003751868073072787;0.00044786992383598356;0.00036875431381693836;0.0015243810817563903;0.0012981186911984709;0.0006479365900002821;0.000559072019512127;0.0004120658723206609;0.0004318683683076118;0.0006260091491382489;0.0006525580043680008;0.0005893646019898467;0.0006651647205750998;0.0004044473548846059;0.0006125602262344283;0.0007728197641583978;0.0005316849753374612;0.0008806064349935226;0.0006393731933057596;0.0005540146010486508;0.0005415466487022855;0.0007216539860530257;0.0007851607777985073;0.0011177212707020462;0.0005503125113572787;0.0006992504854278703;0.00066709932723981;0.0005591074787832661;0.0006042294001643927;0.00056322774263319;0.000670405674048531;0.0007260631603788686;0.0008160676100992083
Congo;0.00042076264994570975;0.0003258652064636352;0.0006983352529030152;0.0022756444040501513;0.0008872937445667372;0.0009130712342387705;0.0007955365288576614;0.000709627074547828;0.0006654994854393261;0.000454244435525498;0.0004936805768196592;0.0006754254956401163;0.0004647615027930665;0.0005934827350326069;0.0006214301440944569;0.0007662012268424192;0.0006029375213614063;0.0006998104291377498;0.0006769493261069295;0.0005077876888022092;0.0005653059779067065;0.0007019730192134026;0.0006860564990259473;0.0005296762118382233;0.000624566928798951;0.0006254693460397135;0.000510248872753104;0.0005397935656666394;0.0005840778691695413;0.0005668104850365642;0.0005634584006650144;0.0006192839528635632;0.0006356577473487128
Cote d'Ivoire;0.0005621006330322523;0.00066922927880085;0.0005823390070834593;0.0015878904293723886;0.001092343103106504;0.0005956286674715457;0.0006603769724107488;0.0006852085378501766;0.0005208569835181862;0.0005977295233932597;0.0006747010596651124;0.0006207059315707577;0.0006299362994135029;0.0005526256753638772;0.0006547009594553063;0.000595056234839472;0.000570873363429194;0.0007565599395909597;0.0005341902271387502;0.0005428912205635672;0.000697863095762007;0.0005461729391023716;0.0005998483205767971;0.0005101907791185014;0.0005439441370323489;0.0005217316024308164;0.0005201634848027507;0.0005064374165403068;0.00044479000438430745;0.0005932826279129101;0.0006633670547369657;0.0007131557624469101;0.0007764749495662618
Gabon;0.0;9.01078746502844e-05;0.0005137671983331838;0.0020097845026986368;0.0008969017057191648;0.0005203237682236783;0.0006583848084132961;0.000552236779678174;0.0004099047031789917;0.0005125552264452116;0.0005811998765304382;0.0004928688391595766;0.0005853089098207446;0.0005084889889463191;0.000647238339124281;0.00043207021281357183;0.0007028194038925125;0.0007126568817351853;0.0005706085412326664;0.0005527751686757126;0.0005444409888735397;0.0006028438412810553;0.0005125771325654617;0.0006885304015484884;0.0004770823790766042;0.0005799001651212003;0.0006028231366652086;0.0006909945365630315;0.0005949459155395808;0.0005482015401968602;0.0005370240889830402;0.0006692235673443169;0.0007058384259888624
Guinée;0.0028283800962867482;0.002638552230336888;0.0024487243643870286;0.0022588964984371685;0.002069068632487309;0.0018792407665374489;0.0016894129005875893;0.0014995850346377335;0.001309757168687874;0.0011199293027380139;0.000970474715261204;0.0006595270138921988;0.0005908189833614858;0.0009655415222318705;0.0018103739740530267;0.0019500415564480253;0.0012554932497309108;0.001461088573235719;0.0006882752459897293;0.0011240944402115451;0.001387567468602362;0.00113149517999444;0.0009911238863578053;0.0007499161164087208;0.0009866039465495171;0.0008349357102232235;0.000866118558034367;0.0009045152166847583;0.0008894801375109822;0.0009370571234510299;0.001020962240045796;0.0009324920542211079;0.000958938736676056
Guinée Equatoriale;0.0003473150551366437;0.00031143267823002276;0.0007205603806173157;0.001830038377459907;0.0013268357904038695;0.0006822352176385996;0.0006181513841733452;0.0008249726141954243;0.0005069779772876057;0.0006932321970923233;0.0008623779273091382;0.0008105418877781472;0.0007992349059002817;0.0006687375383213968;0.0007281008535819169;0.0006769870011376;0.0006092058841405383;0.0007667865985242869;0.0006885559707672108;0.0008188113217723696;0.0006933625471567122;0.0006450641433498542;0.0006153080384362063;0.000672534531469403;0.0005618181988548345;0.0005506895999465078;0.0005226219304207125;0.000535895917277034;0.0005556648802036434;0.0006917357118242371;0.00048724408909851173;0.000692577501227925;0.0006246942234539123
